Year,Month,Chittagong (City-Ambagan),Barisal,Bhola,Bogra,Chandpur,Chittagong (IAP-Patenga),Chuadanga,Cox's Bazar,Comilla,Dhaka,Dinajpur,Faridpur,Feni,Hatiya,Ishurdi,Jessore,Khepupara,Khulna,Kutubdia,Madaripur,Maijdee Court,Mongla,Mymensingh,Patuakhali,Rajshahi,Rangamati,Rangpur,Sandwip,Satkhira,Sayedpur,Sitakunda,Srimangal,Sylhet,Tangail,Teknaf
2008,1,76,81,83,80,78,77,80,73,80,70,80,78,80,81,81,80,76,80,76,78,81,79,84,79,79,82,83,82,79,81,81,83,78,81,73
2008,2,69,77,79,72,73,68,77,67,73,62,74,74,74,73,75,76,74,74,71,73,75,74,75,74,73,71,75,74,75,72,75,76,69,77,68
2008,3,80,78,83,74,77,80,75,79,82,68,73,74,80,81,73,77,80,78,82,77,79,79,81,80,69,73,75,81,78,72,83,76,74,76,82
2008,4,75,80,81,72,75,74,70,72,78,65,74,72,78,78,70,76,77,75,76,75,76,75,79,78,67,66,76,76,75,74,76,71,72,73,77
2008,5,79,81,84,75,78,78,76,77,80,71,77,75,80,83,74,76,79,75,77,80,79,77,80,80,75,73,80,80,74,78,80,78,78,76,81
2008,6,84,89,89,84,87,84,86,86,87,81,85,85,86,89,85,84,87,85,84,88,88,87,87,90,86,83,86,88,84,85,88,84,86,85,90
2008,7,88,90,92,86,89,88,90,90,87,84,85,87,89,90,88,88,90,89,88,90,90,90,89,92,89,86,86,91,89,86,90,85,88,86,93
2008,8,87,88,90,85,87,88,86,88,87,82,87,86,88,88,86,86,87,86,86,87,87,88,91,89,86,86,88,88,87,87,89,86,89,85,90
2008,9,85,88,89,82,85,86,87,87,83,81,85,83,85,86,85,87,87,86,85,87,85,87,86,90,86,85,85,86,87,84,86,84,83,84,88
2008,10,85,87,88,82,84,82,84,81,84,78,84,82,86,89,84,84,85,85,82,85,85,83,87,88,84,85,84,86,84,81,86,86,82,83,86
2008,11,81,83,83,75,77,76,80,75,78,70,79,77,80,82,78,80,82,79,76,80,80,78,83,84,79,84,79,81,79,76,82,82,72,79,80
2008,12,85,87,87,83,84,80,85,76,83,80,86,83,85,85,85,85,84,85,78,86,87,82,88,87,86,84,87,84,84,85,87,86,79,86,76
2009,1,73,82,83,81,80,73,81,70,78,72,83,79,79,80,83,81,80,81,71,82,82,79,85,82,83,75,84,80,81,82,79,82,74,83,69
2009,2,62,74,77,65,69,62,70,66,73,55,66,67,73,72,67,74,72,73,71,74,76,70,74,75,68,64,72,73,74,67,73,70,64,69,66
2009,3,70,76,78,64,68,70,65,73,75,53,64,62,75,77,63,70,73,72,80,71,78,70,75,76,63,62,67,75,72,65,74,67,59,65,76
2009,4,79,78,81,69,76,79,66,76,78,66,72,68,79,82,65,70,77,71,80,79,80,73,79,80,61,72,75,79,72,72,81,76,74,71,80
2009,5,77,78,83,77,79,77,75,75,80,72,78,76,80,79,76,75,77,74,76,79,80,77,81,81,76,75,81,80,75,78,80,80,78,78,79
2009,6,81,82,87,78,82,81,78,82,83,74,79,80,83,82,75,78,83,80,81,81,84,82,85,85,76,81,81,84,78,79,83,83,84,79,86
2009,7,86,89,93,81,86,86,86,89,86,80,81,86,88,89,83,84,89,86,86,85,87,92,84,91,85,85,81,89,85,81,88,82,83,83,92
2009,8,86,89,90,85,86,86,88,88,86,82,86,86,88,89,85,86,88,87,86,88,86,91,87,90,87,87,89,88,86,84,88,85,87,86,90
2009,9,84,87,88,82,85,84,86,85,83,81,82,84,84,88,84,83,87,85,84,85,85,89,85,88,85,85,85,86,84,81,86,85,82,83,87
2009,10,81,86,85,79,82,81,82,80,82,73,80,79,83,85,81,81,85,81,79,82,83,83,86,86,81,84,83,85,82,80,84,84,80,81,100
2009,11,76,82,82,74,77,76,79,73,76,66,78,75,79,82,76,77,80,78,74,78,79,77,82,82,77,82,80,81,79,77,80,82,76,78,100
2009,12,74,81,81,79,79,74,80,71,79,69,83,78,79,81,79,78,78,80,70,81,81,76,84,NULL,80,82,85,81,77,83,79,83,76,82,100
2010,1,NULL,80,81,80,NULL,70,82,71,78,17,83,78,80,76,80,78,75,78,73,82,80,76,81,NULL,80,77,83,77,76,83,77,83,73,81,NULL
2010,2,NULL,74,73,66,NULL,59,71,74,71,56,66,68,73,73,70,71,74,72,69,75,70,71,74,NULL,69,66,72,66,73,68,70,69,59,72,NULL
2010,3,NULL,73,75,64,NULL,69,65,74,78,59,62,66,77,76,61,69,77,71,78,71,75,71,74,NULL,61,63,66,63,70,65,75,64,61,66,NULL
2010,4,NULL,77,83,75,NULL,76,71,75,80,67,75,71,82,79,68,70,77,72,77,75,77,75,82,NULL,67,73,78,73,73,77,79,74,79,75,NULL
2010,5,NULL,80,86,74,NULL,78,79,77,80,71,76,77,84,82,76,76,80,77,76,80,80,80,81,NULL,74,79,80,79,78,79,82,81,82,76,NULL
2010,6,NULL,87,90,82,NULL,86,84,86,86,79,83,85,9,89,83,82,87,83,84,86,89,86,87,NULL,82,85,86,85,84,85,88,86,89,84,NULL
2010,7,NULL,87,89,81,NULL,82,84,85,83,77,82,84,86,87,83,81,86,83,83,86,86,86,85,NULL,83,84,82,84,84,83,86,84,85,82,NULL
2010,8,NULL,86,87,82,NULL,84,83,84,83,78,83,83,85,86,83,82,84,83,83,83,86,68,85,NULL,83,84,83,84,84,84,87,86,86,84,NULL
2010,9,NULL,88,88,83,NULL,82,86,85,85,79,84,85,86,87,86,83,85,84,82,86,87,86,87,NULL,85,84,85,84,85,85,87,88,87,85,NULL
2010,10,NULL,86,84,81,NULL,83,84,84,82,74,82,81,84,85,83,82,85,84,82,84,84,84,85,NULL,85,84,82,84,84,82,86,85,79,83,NULL
2010,11,NULL,85,81,74,NULL,78,79,76,78,68,78,77,80,82,78,78,82,79,75,82,80,80,82,NULL,80,83,80,83,80,78,85,82,75,80,NULL
2010,12,NULL,81,80,74,NULL,74,80,74,76,66,75,77,80,76,78,79,77,78,71,83,79,75,80,NULL,79,82,78,82,78,76,80,81,74,79,NULL
2011,1,67,79,79,79,77,68,79,67,75,69,81,78,76,74,79,77,75,76,67,81,77,75,83,86,80,77,84,77,76,82,72,82,77,81,70
2011,2,66,72,75,68,71,67,70,67,68,54,71,68,71,72,71,71,71,70,70,74,72,69,73,75,73,68,74,74,71,72,67,73,64,72,69
2011,3,69,72,75,66,70,69,69,69,74,57,67,67,75,72,65,70,72,70,73,72,73,71,73,73,64,65,70,74,70,69,71,70,64,71,73
2011,4,76,79,79,71,76,77,72,77,78,64,73,72,82,78,71,73,77,72,79,76,78,74,77,80,72,72,74,80,73,74,79,73,69,73,79
2011,5,79,81,84,77,82,80,78,80,82,76,79,79,87,84,78,75,81,78,80,82,83,78,82,84,81,79,81,83,76,80,83,82,80,79,83
2011,6,85,87,88,81,86,85,83,87,85,80,82,85,88,88,82,81,87,84,86,87,88,86,85,90,84,84,82,87,82,82,87,84,85,82,90
2011,7,84,86,87,82,85,84,85,85,84,79,83,83,86,87,83,82,86,84,87,84,87,84,86,89,85,85,83,86,82,84,87,84,86,83,89
2011,8,88,89,88,85,87,87,88,88,85,82,84,86,88,89,87,86,89,88,87,86,88,89,86,91,88,87,84,89,86,84,88,85,85,87,90
2011,9,86,88,90,83,86,85,88,87,84,77,83,83,86,89,85,85,88,87,87,85,87,91,84,91,86,85,82,87,85,83,87,83,82,83,90
2011,10,82,84,85,77,80,80,82,82,80,73,80,78,82,86,81,79,83,79,82,83,81,82,83,86,82,85,80,84,79,80,84,82,77,80,85
2011,11,77,82,82,75,76,74,82,74,76,67,77,77,79,84,79,79,81,81,75,82,77,78,81,83,80,81,78,81,78,77,81,79,72,80,75
