Year,Chittagong (City-Ambagan),Barisal,Bhola,Bogra,Chandpur,Chittagong (IAP-Patenga),Chuadanga,Cox's Bazar,Comilla,Dhaka,Dinajpur,Faridpur,Feni,Hatiya,Ishurdi,Jessore,Khepupara,Khulna,Kutubdia,Madaripur,Maijdee Court,Mongla,Mymensingh,Patuakhali,Rajshahi,Rangamati,Rangpur,Sandwip,Satkhira,Sayedpur,Sitakunda,Srimangal,Sylhet,Tangail,Teknaf
1988,0.525569,0.26315,0.297817,0.303609,0.291188,0.525569,0.305725,0.47546,0.400729,0.26315,0.346658,0.190095,0.495097,0.593464,0.260307,0.337722,0.27677,0.357203,0.515231,0.253997,0.577254,0.365162,0.478552,0.322643,0.269799,0.611101,0.338879,0.324116,0.334366,0.346658,0.637687,0.501906,0.308232,0.251056,0.369452
1989,0.442529,0.262657,0.281574,0.320201,0.256669,0.442529,0.253044,0.408707,0.328166,0.262657,0.24805,0.196358,0.32777,0.427785,0.236004,0.292565,0.336847,0.301167,0.444572,0.275824,0.502648,0.372925,0.351477,0.355807,0.235354,0.523884,0.26881,0.242634,0.262252,0.24805,0.48824,0.386089,0.31204,0.255185,0.305013
1990,0.472704,0.366544,0.292742,0.397115,0.307264,0.472704,0.365212,0.466535,0.378257,0.366544,0.341152,0.265209,0.38188,0.491264,0.279446,0.40083,0.311213,0.36907,0.446425,0.33272,0.499292,0.417626,0.32869,0.337056,0.314127,0.524801,0.391063,0.251419,0.396793,0.341152,0.513744,0.410603,0.373719,0.346138,0.312486
1991,0.374501,0.24548,0.290404,0.379938,0.250354,0.374501,0.20644,0.395883,0.324426,0.24548,0.239515,0.199609,0.326111,0.412852,0.271953,0.280151,0.31665,0.307593,0.372088,0.27027,0.47441,0.407107,0.283006,0.388261,0.21669,0.500676,0.232628,0.219346,0.283339,0.239515,0.452534,0.367971,0.294963,0.236993,0.315964
1992,0.122945,0.293047,0.257611,0.328381,0.171359,0.122945,0.244837,0.21294,0.213638,0.293047,0.206459,0.198597,0.0792554,0.127737,0.259871,0.325868,0.29525,0.215275,0.16098,0.310241,0.0713438,0.304647,0.148998,0.35329,0.222551,0.119582,0.229723,0.0848509,0.315134,0.206459,0.191968,0.185831,0.0474279,0.159631,0.237335
1993,0.480687,0.32783,0.378062,0.297952,0.320243,0.480687,0.304813,0.462952,0.440958,0.32783,0.243077,0.21944,0.476386,0.543286,0.284089,0.331605,0.424736,0.30829,0.448781,0.312931,0.547205,0.408297,0.363946,0.451535,0.244984,0.560179,0.251857,0.290727,0.292027,0.243077,0.570838,0.423992,0.344686,0.286484,0.349431
1994,0.376192,0.306498,0.3208,0.152904,0.279927,0.376192,0.255928,0.402358,0.322423,0.306498,0.260208,0.230993,0.306891,0.389191,0.264733,0.27098,0.306367,0.266035,0.370275,0.329974,0.474275,0.37071,0.316717,0.35581,0.221413,0.486622,0.269752,0.257115,0.213213,0.260208,0.457645,0.388338,0.312146,0.278589,0.305506
1995,0.30387,0.226408,0.291888,0.318869,0.241306,0.30387,0.250863,0.331325,0.30919,0.226408,0.251544,0.185411,0.34542,0.236315,0.250855,0.248886,0.289692,0.196741,0.28658,0.258375,0.260391,0.329132,0.245221,0.328378,0.237395,0.214482,0.309379,0.213482,0.211627,0.251544,0.275508,0.281598,0.232196,0.250903,0.240555
1996,0.364685,0.278788,0.287933,0.308056,0.277866,0.364685,0.386932,0.409714,0.326757,0.278788,0.297362,0.237935,0.334769,0.397879,0.300338,0.394317,0.295044,0.24779,0.378771,0.303191,0.430246,0.370983,0.307797,0.333083,0.285485,0.462994,0.278239,0.255513,0.312834,0.297362,0.445614,0.367749,0.330608,0.271751,0.313979
1997,0.464002,0.274415,0.246961,0.237347,0.255689,0.464002,0.282918,0.445882,0.281924,0.274415,0.266614,0.225858,0.34166,0.467711,0.263568,0.281364,0.249728,0.193211,0.447067,0.297907,0.503929,0.322652,0.145888,0.27849,0.239471,0.537347,0.266608,0.291503,0.217621,0.266614,0.515738,0.364085,0.329269,0.246375,0.315903
1998,0.388943,0.376697,0.356162,0.400448,0.340015,0.388943,0.341037,0.380614,0.404786,0.376697,0.323127,0.251589,0.374005,0.469926,0.315052,0.359521,0.286881,0.230349,0.333221,0.351009,0.498954,0.31642,0.433701,0.359726,0.297908,0.499715,0.303897,0.279165,0.307464,0.323127,0.464043,0.38802,0.339647,0.355829,0.260483
