Year,Month,Chittagong (City-Ambagan),Barisal,Bhola,Bogra,Chandpur,Chittagong (IAP-Patenga),Chuadanga,Cox's Bazar,Comilla,Dhaka,Dinajpur,Faridpur,Feni,Hatiya,Ishurdi,Jessore,Khepupara,Khulna,Kutubdia,Madaripur,Maijdee Court,Mongla,Mymensingh,Patuakhali,Rajshahi,Rangamati,Rangpur,Sandwip,Satkhira,Sayedpur,Sitakunda,Srimangal,Sylhet,Tangail,Teknaf
2008,1,56,41,23,27,39,64,45,15,30,23,33,42,29,41,37,70,40,66,52,40,27,50,30,34,26,47,36,38,92,32,32,32,19,28,60
2008,2,13,24,15,0,22,7,33,50,11,56,1,45,16,23,2,35,35,36,6,15,16,36,5,20,0,8,1,7,39,1,5,24,35,49,7
2008,3,14,22,4,22,64,6,42,4,26,45,19,31,30,35,12,37,1,48,10,35,68,12,96,2,0,5,49,11,16,19,13,39,165,55,0
2008,4,1,16,16,20,67,1,26,0,34,91,27,31,16,21,35,39,28,36,1,25,14,7,25,9,30,0,74,3,85,29,7,42,162,12,0
2008,5,272,64,162,213,240,244,179,703,282,205,220,58,285,204,145,208,111,151,253,146,202,146,280,91,144,188,273,216,129,253,439,296,501,239,335
2008,6,618,239,313,393,193,538,166,1318,330,577,363,236,505,696,206,242,438,190,441,221,516,252,675,241,247,262,444,494,200,572,386,281,648,309,1135
2008,7,962,550,729,474,649,963,637,1275,457,563,437,430,788,1235,295,459,931,301,1256,532,980,474,473,1016,373,433,232,1414,280,453,994,319,604,444,2072
2008,8,809,357,247,374,320,757,97,664,375,319,385,175,687,512,208,204,459,202,659,248,504,217,354,306,245,400,396,849,257,408,687,411,761,245,993
2008,9,266,210,155,109,213,250,476,387,247,279,242,223,249,386,256,415,514,379,305,172,250,299,131,387,129,240,227,486,275,128,226,158,264,110,520
2008,10,216,341,348,159,333,171,150,184,265,227,45,172,269,377,108,179,467,187,181,245,426,197,170,408,121,172,175,180,170,44,154,273,192,365,285
2008,11,43,0,0,0,0,31,0,3,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,25,0,2,0,0,2,0,0,0,5
2008,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2009,1,0,0,0,0,0,NULL,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,2,2,20,3,3,1,NULL,4,0,0,1,0,2,1,1,4,7,0,6,0,4,2,1,0,0,7,0,0,0,0,0,0,1,20,0,0
2009,3,3,13,6,3,5,NULL,32,0,3,43,10,31,20,7,71,33,2,10,2,9,6,8,17,55,28,1,9,3,3,15,1,47,63,1,0
2009,4,114,112,117,49,56,NULL,0,130,48,14,41,15,36,103,16,0,45,23,87,63,121,23,54,73,0,61,158,69,12,93,78,138,427,59,95
2009,5,373,133,244,205,220,NULL,166,241,295,168,369,166,506,267,134,170,210,130,180,226,386,191,411,209,131,264,270,420,179,317,320,713,576,218,313
2009,6,434,139,175,128,177,NULL,114,324,235,170,457,175,371,226,73,169,221,233,410,180,380,177,130,196,126,295,336,391,55,251,394,374,469,185,542
2009,7,1244,542,544,194,431,NULL,199,971,573,676,281,523,854,856,299,369,758,347,1067,355,864,424,431,695,183,639,304,1320,251,501,916,331,599,329,1454
2009,8,693,518,448,570,312,NULL,338,944,427,482,471,435,682,888,278,386,439,568,448,424,471,478,359,705,240,472,832,722,512,558,803,433,674,314,851
2009,9,281,168,219,169,146,NULL,279,485,145,298,128,165,234,386,350,438,323,357,308,213,244,316,231,168,282,276,77,362,337,186,315,333,323,205,555
2009,10,300,162,146,89,195,NULL,89,130,98,74,267,69,226,319,67,94,239,111,125,98,280,96,29,197,45,338,231,301,82,232,271,69,136,80,0
2009,11,17,13,18,0,3,NULL,1,58,0,4,1,3,55,27,0,1,52,20,31,8,54,6,0,11,0,49,0,26,19,0,21,13,0,0,0
2009,12,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,0,0,0,0,0,NULL,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,2,9,1,0,0,23,NULL,5,0,13,48,0,6,36,1,3,8,17,2,2,2,2,0,4,13,2,9,0,35,3,0,1,0,1,3,0
2010,3,50,1,1,0,3,NULL,0,15,30,22,0,0,6,5,0,11,0,14,10,11,2,0,16,0,2,121,0,27,1,0,37,48,147,69,33
2010,4,50,10,10,26,17,NULL,6,12,43,37,84,12,62,18,46,37,5,21,4,45,12,19,123,8,37,112,169,26,25,131,71,228,804,46,8
2010,5,282,212,195,185,191,NULL,170,717,343,177,206,142,338,370,100,264,371,144,464,467,293,143,337,219,75,424,237,279,214,202,314,560,728,328,292
2010,6,916,481,401,286,541,NULL,159,982,417,308,515,367,728,911,162,329,681,287,666,300,933,350,384,513,211,653,680,949,318,642,876,440,944,430,1089
2010,7,245,251,353,92,233,NULL,105,496,94,167,356,215,444,776,175,155,340,180,517,189,209,304,458,418,94,304,346,759,269,288,377,217,528,126,881
2010,8,392,156,91,225,204,NULL,80,501,125,340,290,209,348,371,127,232,279,205,466,95,500,265,368,200,101,496,240,793,2155,263,473,311,767,207,551
2010,9,86,184,232,244,229,NULL,199,257,341,169,107,15,321,431,109,186,237,157,120,142,301,263,211,223,101,183,332,283,202,259,421,229,732,157,400
2010,10,301,275,442,190,303,NULL,71,375,277,174,82,181,383,482,105,122,604,332,403,271,521,324,148,548,127,281,122,337,92,163,289,203,231,319,602
2010,11,52,64,39,3,6,NULL,3,15,0,0,1,12,2,0,3,4,29,0,0,2,10,94,4,19,3,45,4,4,1,2,4,1,10,3,NULL
2010,12,22,27,8,20,15,NULL,54,68,15,81,0,62,23,3,63,22,5,13,50,5,19,11,42,6,39,45,2,17,15,1,5,53,45,62,NULL
2011,1,0,0,0,1,0,0,1,11,0,0,0,0,0,0,4,0,0,0,5,0,0,0,1,0,6,1,0,0,0,0,1,6,0,3,9
2011,2,0,0,0,0,1,0,1,0,0,0,28,0,10,0,1,0,0,1,0,1,6,0,12,0,0,1,20,0,1,19,0,7,3,0,1
2011,3,35,34,32,7,35,35,42,4,28,20,27,17,55,67,30,34,35,16,22,20,24,8,32,17,10,49,13,120,58,28,126,56,99,48,11
2011,4,117,105,66,145,145,133,85,123,76,123,61,109,58,61,96,33,106,28,118,101,61,112,80,34,94,78,28,124,58,50,163,96,78,68,130
2011,5,355,153,317,194,424,276,151,296,351,235,250,163,437,529,155,132,249,145,316,169,358,132,239,180,187,169,261,372,218,283,361,595,403,198,312
2011,6,454,481,425,193,410,481,358,926,346,314,348,383,599,635,253,314,542,381,952,408,794,504,449,680,341,516,306,661,450,223,502,401,578,303,1180
2011,7,613,314,398,175,291,562,321,877,273,356,285,253,576,715,289,296,802,387,803,342,791,392,333,356,144,463,389,734,428,409,818,401,673,259,848
2011,8,748,428,383,606,403,806,405,1226,501,409,381,469,832,1018,645,306,925,614,856,380,691,639,741,655,554,566,542,1124,638,559,1136,307,722,761,1163
2011,9,740,337,331,389,291,762,240,692,233,207,261,113,402,659,261,227,345,367,597,131,392,421,242,406,203,420,366,823,217,318,524,108,490,150,826
2011,10,66,56,63,0,128,46,17,280,76,112,0,2,225,158,2,18,88,3,224,61,117,39,18,80,35,98,6,302,53,0,127,73,55,49,474
2011,11,0,1,0,11,0,0,1,0,0,0,3,0,0,0,0,1,0,6,0,0,0,0,0,6,1,0,1,0,0,1,0,0,0,0,0
2011,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
2012,1,0,31,6,19,12,0,27,0,16,10,5,30,2,0,12,31,9,66,0,25,6,40,18,7,6,0,7,0,36,6,1,3,10,10,0
2012,2,0,2,1,0,12,0,0,0,1,1,5,1,0,0,0,4,0,18,0,16,0,13,0,2,0,0,2,0,14,6,0,0,0,0,0
2012,3,31,11,8,0,30,30,6,109,13,37,3,4,28,8,5,5,49,1,37,1,44,8,1,48,6,91,2,52,0,3,24,17,101,2,22
2012,4,231,223,191,74,194,192,74,148,195,269,57,168,388,267,51,82,96,52,135,170,267,85,202,80,123,284,191,314,94,91,352,290,659,106,142
2012,5,114,105,96,94,121,188,48,254,209,137,79,109,138,317,69,36,128,63,251,110,286,61,85,79,17,187,212,226,72,148,251,268,406,171,154
2012,6,1268,205,233,147,279,1337,125,1102,442,175,380,128,723,538,177,221,415,255,1178,144,483,193,241,287,137,834,369,753,199,328,954,518,1185,246,1431
2012,7,662,275,323,186,298,788,322,1130,282,226,435,252,568,738,215,334,639,391,1688,377,431,359,409,392,314,489,445,1399,239,456,1274,125,700,241,1349
2012,8,300,270,285,164,452,299,143,801,373,282,106,221,390,501,97,187,392,254,527,203,442,449,238,439,179,297,187,889,314,97,567,353,738,204,933
2012,9,221,381,191,345,137,170,173,302,178,81,349,165,274,377,978,271,562,374,260,216,322,420,221,348,178,268,405,182,282,628,234,139,261,319,496
2012,10,445,70,123,74,128,636,132,263,115,38,91,83,356,244,157,71,259,89,554,197,156,114,45,142,102,344,57,263,95,27,256,193,502,75,319
2012,11,3,44,35,36,92,3,81,14,102,68,1,111,18,13,86,61,69,80,47,86,29,34,19,71,101,23,0,3,105,0,19,21,48,94,23
