StationNames,Year,Month,Rainfall,StationIndex
Barisal,1970,1,0,2
Barisal,1970,2,24,2
Barisal,1970,3,5,2
Barisal,1970,4,91,2
Barisal,1970,5,124,2
Barisal,1970,6,408,2
Barisal,1970,7,530,2
Barisal,1970,8,317,2
Barisal,1970,9,571,2
Barisal,1970,10,253,2
Barisal,1970,11,90,2
Barisal,1970,12,0,2
Bhola,1970,1,0,3
Bhola,1970,2,26,3
Bhola,1970,3,4,3
Bhola,1970,4,70,3
Bhola,1970,5,69,3
Bhola,1970,6,402,3
Bhola,1970,7,233,3
Bhola,1970,8,287,3
Bhola,1970,9,503,3
Bhola,1970,10,288,3
Bhola,1970,11,9,3
Bhola,1970,12,0,3
Bogra,1970,1,0,4
Bogra,1970,2,0,4
Bogra,1970,3,0,4
Bogra,1970,4,0,4
Bogra,1970,5,113,4
Bogra,1970,6,506,4
Bogra,1970,7,629,4
Bogra,1970,8,171,4
Bogra,1970,9,201,4
Bogra,1970,10,164,4
Bogra,1970,11,10,4
Bogra,1970,12,0,4
Chandpur,1970,1,0,5
Chandpur,1970,2,0,5
Chandpur,1970,3,13,5
Chandpur,1970,4,71,5
Chandpur,1970,5,57,5
Chandpur,1970,6,387,5
Chandpur,1970,7,433,5
Chandpur,1970,8,172,5
Chandpur,1970,9,208,5
Chandpur,1970,10,238,5
Chandpur,1970,11,1,5
Chandpur,1970,12,0,5
Chittagong (IAP-Patenga),1970,1,1,6
Chittagong (IAP-Patenga),1970,2,20,6
Chittagong (IAP-Patenga),1970,3,2,6
Chittagong (IAP-Patenga),1970,4,40,6
Chittagong (IAP-Patenga),1970,5,158,6
Chittagong (IAP-Patenga),1970,6,313,6
Chittagong (IAP-Patenga),1970,7,1041,6
Chittagong (IAP-Patenga),1970,8,405,6
Chittagong (IAP-Patenga),1970,9,317,6
Chittagong (IAP-Patenga),1970,10,380,6
Chittagong (IAP-Patenga),1970,11,151,6
Chittagong (IAP-Patenga),1970,12,0,6
Comilla,1970,1,20,7
Comilla,1970,2,9,7
Comilla,1970,3,63,7
Comilla,1970,4,134,7
Comilla,1970,5,187,7
Comilla,1970,6,129,7
Comilla,1970,7,546,7
Comilla,1970,8,240,7
Comilla,1970,9,37,7
Comilla,1970,10,284,7
Comilla,1970,11,74,7
Comilla,1970,12,0,7
CoxsBazar,1970,1,0,8
CoxsBazar,1970,2,40,8
CoxsBazar,1970,3,0,8
CoxsBazar,1970,4,69,8
CoxsBazar,1970,5,331,8
CoxsBazar,1970,6,578,8
CoxsBazar,1970,7,1424,8
CoxsBazar,1970,8,598,8
CoxsBazar,1970,9,308,8
CoxsBazar,1970,10,458,8
CoxsBazar,1970,11,67,8
CoxsBazar,1970,12,0,8
Dhaka,1970,1,16,9
Dhaka,1970,2,8,9
Dhaka,1970,3,23,9
Dhaka,1970,4,45,9
Dhaka,1970,5,192,9
Dhaka,1970,6,276,9
Dhaka,1970,7,496,9
Dhaka,1970,8,280,9
Dhaka,1970,9,200,9
Dhaka,1970,10,427,9
Dhaka,1970,11,32,9
Dhaka,1970,12,0,9
Dinajpur,1970,1,42,10
Dinajpur,1970,2,0,10
Dinajpur,1970,3,1,10
Dinajpur,1970,4,76,10
Dinajpur,1970,5,74,10
Dinajpur,1970,6,253,10
Dinajpur,1970,7,586,10
Dinajpur,1970,8,126,10
Dinajpur,1970,9,217,10
Dinajpur,1970,10,48,10
Dinajpur,1970,11,0,10
Dinajpur,1970,12,0,10
Faridpur,1970,1,12,11
Faridpur,1970,2,15,11
Faridpur,1970,3,25,11
Faridpur,1970,4,68,11
Faridpur,1970,5,173,11
Faridpur,1970,6,308,11
Faridpur,1970,7,382,11
Faridpur,1970,8,291,11
Faridpur,1970,9,433,11
Faridpur,1970,10,413,11
Faridpur,1970,11,32,11
Faridpur,1970,12,0,11
Hatiya,1970,1,0,13
Hatiya,1970,2,64,13
Hatiya,1970,3,6,13
Hatiya,1970,4,44,13
Hatiya,1970,5,131,13
Hatiya,1970,6,468,13
Hatiya,1970,7,584,13
Hatiya,1970,8,512,13
Hatiya,1970,9,521,13
Hatiya,1970,10,389,13
Hatiya,1970,11,0,13
Hatiya,1970,12,0,13
Ishurdi,1970,1,73,14
Ishurdi,1970,2,25,14
Ishurdi,1970,3,30,14
Ishurdi,1970,4,1,14
Ishurdi,1970,5,116,14
Ishurdi,1970,6,236,14
Ishurdi,1970,7,168,14
Ishurdi,1970,8,378,14
Ishurdi,1970,9,340,14
Ishurdi,1970,10,364,14
Ishurdi,1970,11,0,14
Ishurdi,1970,12,0,14
Jessore,1970,1,31,15
Jessore,1970,2,30,15
Jessore,1970,3,45,15
Jessore,1970,4,87,15
