SL,Station,Year,Month,TempMax,TempMin,Rainfall,RelativeHumidity,WindSpeed,CloudCoverage,BrightSunshine,Latitude,Longitude,Elevation,NDVI
1,Chittagong (City-Ambagan),1949,1,26.34098671647059,13.7,5.368421052631579,72.11111111111111,3.03333333325,0.7,6.411130628,22.2167,91.8,5.5,0.4349915389602721
2,Chittagong (City-Ambagan),1949,2,28.952734715294117,16.7,7.7894736842105265,65.77777777777777,3.16666666675,0.975,6.411130628,22.2167,91.8,5.5,0.41891077136115973
3,Chittagong (City-Ambagan),1949,3,31.248766603235293,21.2333333325,26.842105263157894,71.33333333333333,3.8,2.15,6.411130628,22.2167,91.8,5.5,0.429724917305359
4,Chittagong (City-Ambagan),1949,4,32.23460784264706,23.9,121.84210526315789,77.33333333333333,3.73333333325,3.325,6.411130628,22.2167,91.8,5.5,0.4332122665167808
5,Chittagong (City-Ambagan),1949,5,32.55948766735294,24.9333333325,340.7368421052632,79.66666666666667,3.9,4.875,6.411130628,22.2167,91.8,5.5,0.4301703239176873
6,Chittagong (City-Ambagan),1949,6,31.760882353235296,25.8,682.2631578947369,84.11111111111111,3.66666666675,5.975,6.411130628,22.2167,91.8,5.5,0.4131980244634095
7,Chittagong (City-Ambagan),1949,7,31.025142315588234,25.6333333325,707.1052631578947,86.0,3.63333333325,6.325,6.411130628,22.2167,91.8,5.5,0.4073614642464025
8,Chittagong (City-Ambagan),1949,8,31.472390891764704,25.2666666675,477.1578947368421,85.66666666666667,3.5666666667499998,6.525,6.411130628,22.2167,91.8,5.5,0.4191618737950362
9,Chittagong (City-Ambagan),1949,9,31.882058824705883,25.5333333325,344.1578947368421,84.33333333333333,3.23333333325,5.800000000000001,6.411130628,22.2167,91.8,5.5,0.4176814561425215
10,Chittagong (City-Ambagan),1949,10,31.920872865588233,24.0333333325,256.4736842105263,83.55555555555556,2.83333333325,3.65,6.411130628,22.2167,91.8,5.5,0.4395765822400537
11,Chittagong (City-Ambagan),1949,11,30.28950980411765,19.4333333325,35.36842105263158,78.22222222222223,2.5666666667499998,1.9499999999999997,6.411130628,22.2167,91.8,5.5,0.4510523421341093
12,Chittagong (City-Ambagan),1949,12,27.502087287058824,15.3666666675,11.842105263157896,79.33333333333333,2.5,1.0,6.411130628,22.2167,91.8,5.5,0.45901106884896903
13,Chittagong (City-Ambagan),1950,1,26.34098671647059,13.7,5.368421052631579,72.11111111111111,3.03333333325,0.7,6.411130628,22.2167,91.8,5.5,0.4349915389602721
