SL,Station,Year,Month,TempMax,TempMin,Rainfall,RelativeHumidity,WindSpeed,CloudCoverage,BrightSunshine,Latitude,Longitude,Elevation,NDVI
1,Chittagong (City-Ambagan),1949,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
2,Chittagong (City-Ambagan),1949,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
3,Chittagong (City-Ambagan),1949,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
4,Chittagong (City-Ambagan),1949,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
5,Chittagong (City-Ambagan),1949,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
6,Chittagong (City-Ambagan),1949,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
7,Chittagong (City-Ambagan),1949,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
8,Chittagong (City-Ambagan),1949,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
9,Chittagong (City-Ambagan),1949,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
10,Chittagong (City-Ambagan),1949,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
11,Chittagong (City-Ambagan),1949,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
12,Chittagong (City-Ambagan),1949,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
13,Chittagong (City-Ambagan),1950,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
14,Chittagong (City-Ambagan),1950,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
15,Chittagong (City-Ambagan),1950,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
16,Chittagong (City-Ambagan),1950,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
17,Chittagong (City-Ambagan),1950,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
18,Chittagong (City-Ambagan),1950,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
19,Chittagong (City-Ambagan),1950,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
20,Chittagong (City-Ambagan),1950,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
21,Chittagong (City-Ambagan),1950,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
22,Chittagong (City-Ambagan),1950,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
23,Chittagong (City-Ambagan),1950,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
24,Chittagong (City-Ambagan),1950,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
25,Chittagong (City-Ambagan),1951,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
26,Chittagong (City-Ambagan),1951,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
27,Chittagong (City-Ambagan),1951,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
28,Chittagong (City-Ambagan),1951,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
29,Chittagong (City-Ambagan),1951,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
30,Chittagong (City-Ambagan),1951,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
31,Chittagong (City-Ambagan),1951,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
32,Chittagong (City-Ambagan),1951,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
33,Chittagong (City-Ambagan),1951,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
34,Chittagong (City-Ambagan),1951,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
35,Chittagong (City-Ambagan),1951,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
36,Chittagong (City-Ambagan),1951,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
37,Chittagong (City-Ambagan),1952,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
38,Chittagong (City-Ambagan),1952,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
39,Chittagong (City-Ambagan),1952,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
40,Chittagong (City-Ambagan),1952,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
41,Chittagong (City-Ambagan),1952,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
42,Chittagong (City-Ambagan),1952,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
43,Chittagong (City-Ambagan),1952,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
44,Chittagong (City-Ambagan),1952,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
45,Chittagong (City-Ambagan),1952,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
46,Chittagong (City-Ambagan),1952,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
47,Chittagong (City-Ambagan),1952,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
48,Chittagong (City-Ambagan),1952,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
49,Chittagong (City-Ambagan),1953,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
50,Chittagong (City-Ambagan),1953,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
51,Chittagong (City-Ambagan),1953,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
52,Chittagong (City-Ambagan),1953,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
53,Chittagong (City-Ambagan),1953,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
54,Chittagong (City-Ambagan),1953,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
55,Chittagong (City-Ambagan),1953,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
56,Chittagong (City-Ambagan),1953,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
57,Chittagong (City-Ambagan),1953,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
58,Chittagong (City-Ambagan),1953,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
59,Chittagong (City-Ambagan),1953,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
60,Chittagong (City-Ambagan),1953,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
61,Chittagong (City-Ambagan),1954,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
62,Chittagong (City-Ambagan),1954,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
63,Chittagong (City-Ambagan),1954,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
64,Chittagong (City-Ambagan),1954,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
65,Chittagong (City-Ambagan),1954,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
66,Chittagong (City-Ambagan),1954,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
67,Chittagong (City-Ambagan),1954,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
68,Chittagong (City-Ambagan),1954,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
69,Chittagong (City-Ambagan),1954,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
70,Chittagong (City-Ambagan),1954,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
71,Chittagong (City-Ambagan),1954,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
72,Chittagong (City-Ambagan),1954,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
73,Chittagong (City-Ambagan),1955,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
74,Chittagong (City-Ambagan),1955,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
75,Chittagong (City-Ambagan),1955,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
76,Chittagong (City-Ambagan),1955,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
77,Chittagong (City-Ambagan),1955,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2167,91.8,5.5,NULL
