Year,Month,BMD,LST
2000,2,26.50453202,25.26528244
2000,3,31.05437788,28.040311
2000,4,32.91714286,29.04372366
2000,5,32.34709677,27.27680546
2000,6,32.17657143,26.03762049
2000,7,31.71834101,25.97816813
2000,8,31.9837788,24.32582857
2000,9,31.64171429,25.38596294
2000,10,31.81889401,27.07596715
2000,11,30.2647619,27.29756593
2000,12,27.04488479,24.71047907
2001,1,25.24608295,22.64018811
2001,2,28.84459184,25.7726775
2001,3,32.62949309,29.63868874
2001,4,34.43471429,31.70952327
2001,5,32.49889401,27.69578969
2001,6,31.1504381,26.65189807
2001,7,31.6840553,25.32400438
2001,8,32.66119816,25.47289818
2001,9,32.30990476,26.78462506
2001,10,31.95428571,27.27003534
2001,11,29.5919619,26.50156398
2001,12,26.52967742,23.72183916
2002,1,25.97317972,23.35057885
2002,2,29.16683674,26.22959865
2002,3,32.31059908,28.90747579
2002,4,32.13990476,27.17257215
2002,5,32.37345622,26.6577383
2002,6,31.97704762,24.91760611
2002,7,31.61940092,23.70299666
2002,8,31.75087558,25.59832281
2002,9,32.47914286,28.13842171
2002,10,31.91603687,27.73833462
2002,11,29.58457143,26.64152262
2002,12,26.67262673,24.16091898
2003,1,23.42958525,21.3187818
2003,2,28.50336735,25.57138479
2003,3,30.35981567,27.34308735
2003,4,33.61486667,28.57635119
2003,5,33.74886636,27.76419268
2003,6,31.32870476,26.66946444
2003,7,32.2297788,25.35801075
2003,8,32.45612903,26.0007037
2003,9,32.11657143,26.51503054
2003,10,31.68178802,26.62054301
2003,11,29.97674286,26.76763603
2003,12,26.47021198,24.1124234
2004,1,24.14042396,21.91842346
2004,2,28.42717241,25.56727605
2004,3,32.23647005,29.50012566
2004,4,32.24574286,27.11796289
2004,5,34.52173272,29.01458961
2004,6,32.21093333,26.46462865
2004,7,31.36392627,24.99975647
2004,8,32.03050691,25.43173988
2004,9,31.1072381,27.09026225
2004,10,31.05703226,27.12276129
2004,11,29.65476191,26.49372862
2004,12,27.3802765,24.50020067
2005,1,25.23234101,22.0744092
2005,2,29.24705102,26.02210448
2005,3,31.53651613,28.55655803
2005,4,33.90580952,28.91004136
2005,5,33.51078341,27.30583209
2005,6,33.65247619,26.70044544
2005,7,31.47152074,25.50659553
2005,8,31.69834101,23.86680988
2005,9,32.66104762,27.98255049
2005,10,31.12580645,27.15412107
2005,11,29.38542857,26.06268267
2005,12,27.29391705,24.48529254
2006,1,25.90036866,22.65122351
2006,2,30.71642857,26.8854902
2006,3,33.00506912,29.92376117
2006,4,33.58923809,29.56876727
2006,5,33.37078341,29.31574262
2006,6,32.61209524,25.78640503
2006,7,31.91859908,25.39301391
2006,8,32.37299539,27.03907074
2006,9,32.05781905,27.99572576
2006,10,32.34700461,27.96169869
2006,11,29.59742857,26.60642754
2006,12,27.04497696,23.99534946
2007,1,25.1124424,21.88548016
2007,2,27.20040816,24.66331049
2007,3,31.28175115,29.1522876
2007,4,33.00542857,28.62707951
2007,5,34.15196313,29.91274161
2007,6,32.42533333,27.08435489
2007,7,31.1518894,24.79562646
2007,8,32.25461751,26.69922626
2007,9,31.70514286,26.96928923
2007,10,31.62468203,27.38483082
2007,11,29.7087619,26.89242389
2007,12,26.38958525,23.41546012
2008,1,24.98221198,22.65339996
2008,2,26.33497537,23.53331269
2008,3,31.41235023,27.55929499
2008,4,34.09485714,30.20406737
2008,5,34.2162212,28.76105084
2008,6,31.82190476,25.56136901
2008,7,31.10488479,25.65613783
2008,8,31.67889401,25.28143857
2008,9,32.36695238,27.49910434
2008,10,31.52728111,27.73627835
2008,11,29.88857143,26.80826084
2008,12,26.33539171,24.53144973
2009,1,26.14018433,23.5030316
2009,2,29.62102041,26.34565678
2009,3,32.61870968,28.32727274
2009,4,34.50419048,30.21455067
2009,5,33.87354839,29.1665053
2009,6,33.8892381,28.58204111
2009,7,31.88488479,26.07453164
2009,8,31.96258065,25.91479453
2009,9,32.65047619,27.4468018
2009,10,32.07087558,27.93310852
2009,11,30.17638095,26.54871093
2009,12,26.34829493,23.44031173
2010,1,24.49078341,22.55815237
