Date,LST,YearMonth
2000-02-25,24.32413931,2000-02
2000-02-26,26.40738682,2000-02
2000-02-27,23.906714,2000-02
2000-02-28,26.93530023,2000-02
2000-02-29,24.75287182,2000-02
2000-03-01,25.47576471,2000-03
2000-03-02,24.37793751,2000-03
2000-03-03,26.7140293,2000-03
2000-03-04,27.72824533,2000-03
2000-03-05,25.00240435,2000-03
2000-03-06,28.536908,2000-03
2000-03-07,25.55758254,2000-03
2000-03-08,29.22357348,2000-03
2000-03-09,29.22357348,2000-03
2000-03-10,26.59358318,2000-03
2000-03-11,26.79868845,2000-03
2000-03-12,24.73407539,2000-03
2000-03-13,27.04582043,2000-03
2000-03-14,23.52197898,2000-03
2000-03-15,28.39728202,2000-03
2000-03-16,26.61046125,2000-03
2000-03-17,28.73573512,2000-03
2000-03-18,27.22454017,2000-03
2000-03-19,27.81639699,2000-03
2000-03-20,29.58183394,2000-03
2000-03-21,29.11928416,2000-03
2000-03-22,32.01115285,2000-03
2000-03-23,27.62064807,2000-03
2000-03-24,30.66221528,2000-03
2000-03-25,29.14188085,2000-03
2000-03-26,29.1483574,2000-03
2000-03-27,30.97719825,2000-03
2000-03-28,30.08016473,2000-03
2000-03-29,32.36578338,2000-03
2000-03-30,27.96363837,2000-03
2000-03-31,31.25890309,2000-03
2000-04-01,29.25917692,2000-04
2000-04-02,31.79375486,2000-04
2000-04-03,32.35878515,2000-04
2000-04-04,31.27295875,2000-04
2000-04-05,32.65114618,2000-04
2000-04-06,29.31346881,2000-04
2000-04-07,32.22637679,2000-04
2000-04-08,32.50534826,2000-04
2000-04-09,32.37484233,2000-04
2000-04-10,30.57348073,2000-04
2000-04-11,30.52123159,2000-04
2000-04-12,28.93016253,2000-04
2000-04-13,28.87114876,2000-04
2000-04-14,31.37673071,2000-04
2000-04-15,25.38708554,2000-04
2000-04-16,31.23805042,2000-04
2000-04-17,28.67196617,2000-04
2000-04-18,29.70553239,2000-04
2000-04-19,26.17832885,2000-04
2000-04-20,27.03460409,2000-04
2000-04-21,26.54841946,2000-04
2000-04-22,23.71367018,2000-04
2000-04-23,28.21325847,2000-04
2000-04-24,22.24127914,2000-04
2000-04-25,29.16082513,2000-04
2000-04-28,29.16082513,2000-04
2000-04-29,25.45226256,2000-04
2000-04-30,26.48954263,2000-04
2000-05-01,26.19007877,2000-05
2000-05-02,26.12960316,2000-05
2000-05-03,21.34825901,2000-05
2000-05-04,27.00330927,2000-05
2000-05-05,28.32207251,2000-05
2000-05-06,28.75700771,2000-05
2000-05-07,28.79645806,2000-05
2000-05-08,26.44352602,2000-05
2000-05-09,31.8498849,2000-05
2000-05-10,27.97107189,2000-05
2000-05-11,32.98766098,2000-05
2000-05-12,28.4291662,2000-05
2000-05-13,32.27569903,2000-05
2000-05-14,29.23434294,2000-05
2000-05-15,29.57775585,2000-05
2000-05-16,33.3332607,2000-05
2000-05-17,26.04592584,2000-05
2000-05-18,29.72720073,2000-05
2000-05-19,24.3391099,2000-05
2000-05-20,28.37812667,2000-05
2000-05-21,24.8899814,2000-05
2000-05-22,26.4224911,2000-05
2000-05-23,26.94606567,2000-05
2000-05-24,20.62712319,2000-05
2000-05-25,28.23026436,2000-05
2000-05-26,28.23026436,2000-05
2000-05-27,25.65790324,2000-05
2000-05-28,25.65790324,2000-05
2000-05-29,25.65790324,2000-05
2000-05-30,23.55996621,2000-05
2000-05-31,22.56158309,2000-05
2000-06-01,28.16278065,2000-06
2000-06-02,18.34,2000-06
2000-06-03,31.18094395,2000-06
2000-06-04,28.44443537,2000-06
2000-06-05,30.33724383,2000-06
2000-06-06,26.02608289,2000-06
2000-06-07,25.85528302,2000-06
2000-06-08,28.02013101,2000-06
2000-06-09,25.26016874,2000-06
2000-06-10,25.26016874,2000-06
2000-06-11,25.26016874,2000-06
2000-06-12,27.79549157,2000-06
2000-06-13,26.86221823,2000-06
2000-06-14,27.4718417,2000-06
2000-06-15,27.4718417,2000-06
2000-06-16,25.91445659,2000-06
2000-06-17,28.86321002,2000-06
2000-06-18,24.83282467,2000-06
2000-06-19,27.49559187,2000-06
2000-06-20,20.34105874,2000-06
2000-06-21,27.40547261,2000-06
2000-06-22,23.24987201,2000-06
2000-06-23,23.28766346,2000-06
