Year,Month,Station,Forecasted_Temperature
2018,1,5,25.9
2018,1,1,24.8
2018,1,2,24.7
2018,1,3,22
2018,1,4,24.2
2018,1,6,25
2018,1,7,23.1
2018,1,9,25.9
2018,1,8,24
2018,1,10,23.5
2018,1,11,20.5
2018,1,12,23.4
2018,1,13,24.9
2018,1,14,24.9
2018,1,15,22.2
2018,1,16,24.3
2018,1,17,25.4
2018,1,18,23.9
2018,1,19,25
2018,1,21,24.8
2018,1,20,24
2018,1,22,24.5
2018,1,23,22.7
2018,1,24,25.2
2018,1,25,22.5
2018,1,26,24.9
2018,1,27,21.4
2018,1,28,25.2
2018,1,29,24
2018,1,31,25.7
2018,1,32,23.7
2018,1,30,21.4
2018,1,33,24.8
2018,1,34,22.8
2018,1,35,26.4
2019,1,5,28.1
2019,1,1,27
2019,1,2,27.3
2019,1,3,26.6
2019,1,4,26.9
2019,1,6,27.3
2019,1,7,25.8
2019,1,9,26.9
2019,1,8,28.2
2019,1,10,27.1
2019,1,11,25.8
2019,1,12,26.6
2019,1,13,28.2
2019,1,14,27.6
2019,1,15,25.6
2019,1,16,26.8
2019,1,17,27.6
2019,1,18,26.8
2019,1,19,26.5
2019,1,21,27.3
2019,1,20,26.9
2019,1,22,26.7
2019,1,23,26.2
2019,1,24,27.1
2019,1,25,25.4
2019,1,26,27.2
2019,1,27,25.7
2019,1,28,27.9
2019,1,29,26.2
2019,1,31,29
2019,1,32,27.1
2019,1,30,26.5
2019,1,33,27.8
2019,1,34,26.3
2019,1,35,28.5
2020,1,5,26.4
2020,1,1,24.8
2020,1,2,24.5
2020,1,3,23.5
2020,1,4,24.4
2020,1,6,25.3
2020,1,7,23.6
2020,1,9,26.4
2020,1,8,23.9
2020,1,10,24
2020,1,11,22.4
2020,1,12,23.8
2020,1,13,24.8
2020,1,14,24.5
2020,1,15,23.2
2020,1,16,24.8
2020,1,17,25.3
2020,1,18,24
2020,1,19,25.3
2020,1,21,24.3
2020,1,20,23.7
2020,1,22,24.4
2020,1,23,23.4
2020,1,24,25.2
2020,1,25,23.3
2020,1,26,25.2
2020,1,27,22.5
2020,1,28,25.2
2020,1,29,24.3
2020,1,31,26
2020,1,32,23.6
2020,1,30,23
2020,1,33,24.7
2020,1,34,23.2
2020,1,35,27.6
2021,1,5,28.1
2021,1,1,26.6
2021,1,2,26.6
2021,1,3,23.7
2021,1,4,25.9
2021,1,6,27.2
2021,1,7,24
2021,1,9,28.3
2021,1,8,26
2021,1,10,25.5
2021,1,11,22.7
2021,1,12,25
2021,1,13,27.4
2021,1,14,26.7
2021,1,15,23.7
2021,1,16,26
2021,1,17,27.7
2021,1,18,25.9
2021,1,19,26.9
2021,1,21,26.1
2021,1,20,25
2021,1,22,26.4
2021,1,23,23.6
2021,1,24,26.7
