Year,Month,Station,Forecasted_Temperature
2018,1,1,25.406621732004066
2018,1,2,26.124550392027675
2018,1,3,24.814173494173986
2018,1,4,25.665138880107225
2018,1,5,27.29767096219023
2018,1,6,27.134812257882484
2018,1,7,24.870249161218336
2018,1,8,25.63255195380984
2018,1,9,28.363205656203355
2018,1,10,25.430815910047336
2018,1,11,23.97980969621474
2018,1,12,25.310312682131716
2018,1,13,26.31951346891471
2018,1,14,26.93241412972124
2018,1,15,24.856810714958947
2018,1,16,25.442623611881853
2018,1,17,26.48790573664533
2018,1,18,25.42489076247009
2018,1,19,26.848864899883136
2018,1,20,25.53170491746397
2018,1,21,25.996003823402347
2018,1,22,25.574035491837115
2018,1,23,24.914567471336905
2018,1,24,26.243632239525464
2018,1,25,24.440958220567023
2018,1,26,28.049060645533302
2018,1,27,24.265813965309977
2018,1,28,26.45437635714786
2018,1,29,25.23222697060338
2018,1,30,24.44712276843015
2018,1,31,27.442616506040373
2018,1,32,25.794462633584384
2018,1,33,26.12791520316421
2018,1,34,24.962020805752587
2018,1,35,29.06313549631856
2019,1,1,25.402436315891
2019,1,2,26.109109400351585
2019,1,3,24.76069814968812
2019,1,4,25.666574598095
2019,1,5,27.328460286706655
2019,1,6,27.13985476755552
2019,1,7,24.836305002902066
2019,1,8,25.613361732350715
2019,1,9,28.389507437914585
2019,1,10,25.388106134116093
2019,1,11,23.94321490582513
2019,1,12,25.29564450401559
2019,1,13,26.30492217777033
2019,1,14,26.96816020521704
2019,1,15,24.83240005930272
2019,1,16,25.44174581790477
2019,1,17,26.508766773083835
2019,1,18,25.40408049115153
2019,1,19,26.857153423423245
2019,1,20,25.50888375383524
2019,1,21,25.98051556594169
2019,1,22,25.55383095252772
2019,1,23,24.88289049555539
2019,1,24,26.26126204805717
2019,1,25,24.40175764885121
2019,1,26,28.094198771146747
2019,1,27,24.238001550070862
2019,1,28,26.50720318879645
2019,1,29,25.172595141271067
2019,1,30,24.40114775675559
2019,1,31,27.491187934633192
2019,1,32,25.81346655185482
2019,1,33,26.160043151155044
2019,1,34,24.93589990584732
2019,1,35,29.08028377499083
2020,1,1,25.39825089977793
2020,1,2,26.093668408675494
2020,1,3,24.707222805202253
2020,1,4,25.66801031608278
2020,1,5,27.35924961122308
2020,1,6,27.14489727722855
2020,1,7,24.80236084458579
2020,1,8,25.594171510891584
2020,1,9,28.415809219625817
2020,1,10,25.345396358184846
2020,1,11,23.90662011543552
2020,1,12,25.280976325899477
2020,1,13,26.290330886625934
2020,1,14,27.00390628071284
2020,1,15,24.80798940364649
2020,1,16,25.44086802392769
2020,1,17,26.52962780952234
2020,1,18,25.38327021983296
2020,1,19,26.86544194696335
2020,1,20,25.486062590206515
2020,1,21,25.965027308481037
2020,1,22,25.53362641321832
2020,1,23,24.85121351977388
2020,1,24,26.27889185658887
2020,1,25,24.3625570771354
2020,1,26,28.139336896760195
2020,1,27,24.21018913483175
2020,1,28,26.560030020445037
2020,1,29,25.112963311938756
2020,1,30,24.35517274508103
2020,1,31,27.53975936322601
2020,1,32,25.83247047012525
2020,1,33,26.192171099145877
2020,1,34,24.909779005942045
2020,1,35,29.0974320536631
2021,1,1,25.39406548366487
2021,1,2,26.078227416999407
2021,1,3,24.653747460716385
2021,1,4,25.669446034070557
2021,1,5,27.390038935739508
2021,1,6,27.149939786901584
2021,1,7,24.76841668626952
2021,1,8,25.57498128943245
2021,1,9,28.442111001337047
2021,1,10,25.302686582253603
2021,1,11,23.87002532504591
2021,1,12,25.266308147783352
2021,1,13,26.275739595481557
2021,1,14,27.03965235620864
2021,1,15,24.78357874799027
2021,1,16,25.43999022995061
2021,1,17,26.55048884596084
2021,1,18,25.3624599485144
2021,1,19,26.873730470503457
2021,1,20,25.46324142657779
2021,1,21,25.949539051020377
2021,1,22,25.513421873908925
2021,1,23,24.819536543992367
2021,1,24,26.29652166512057
2021,1,25,24.323356505419586
2021,1,26,28.18447502237364
2021,1,27,24.18237671959264
2021,1,28,26.61285685209362
2021,1,29,25.05333148260644
2021,1,30,24.30919773340647
2021,1,31,27.58833079181883
2021,1,32,25.85147438839569
